,drug_a_name,drug_b_name,cell_line,synergy,fold
MK-4541_GELDANAMYCIN_PA1,MK-4541,GELDANAMYCIN,PA1,0.09838578623970187,1
MK-4541_GELDANAMYCIN_RKO,MK-4541,GELDANAMYCIN,RKO,0.029969044282827394,1
MK-4541_GELDANAMYCIN_RPMI7951,MK-4541,GELDANAMYCIN,RPMI7951,-0.023377176330511736,1
MK-4541_GELDANAMYCIN_SKMEL30,MK-4541,GELDANAMYCIN,SKMEL30,0.1212962784939428,1
MK-4541_GELDANAMYCIN_SKMES1,MK-4541,GELDANAMYCIN,SKMES1,0.023094636767215074,1
MK-4541_GELDANAMYCIN_SKOV3,MK-4541,GELDANAMYCIN,SKOV3,0.044166636217263466,1
MK-4541_GELDANAMYCIN_SW620,MK-4541,GELDANAMYCIN,SW620,0.0003718552289279954,1
MK-4541_GELDANAMYCIN_SW837,MK-4541,GELDANAMYCIN,SW837,-0.02675017970938985,1
MK-4541_GELDANAMYCIN_T47D,MK-4541,GELDANAMYCIN,T47D,0.15552998867727386,1
MK-4541_GELDANAMYCIN_UACC62,MK-4541,GELDANAMYCIN,UACC62,0.006929742537903077,1
MK-4541_GELDANAMYCIN_UWB1289BRCA1,MK-4541,GELDANAMYCIN,UWB1289BRCA1,-0.06089035909455982,1
MK-4541_GELDANAMYCIN_UWB1289,MK-4541,GELDANAMYCIN,UWB1289,0.037767411441833806,1
MK-4541_GELDANAMYCIN_VCAP,MK-4541,GELDANAMYCIN,VCAP,0.10413000282639204,1
MK-4541_GELDANAMYCIN_ZR751,MK-4541,GELDANAMYCIN,ZR751,-0.03770061733763289,1
MK-4541_GEMCITABINE_A2058,MK-4541,GEMCITABINE,A2058,0.042948604753960604,4
MK-4541_GEMCITABINE_A2780,MK-4541,GEMCITABINE,A2780,0.005543520781253124,4
MK-4541_GEMCITABINE_A375,MK-4541,GEMCITABINE,A375,-0.09427413929294669,4
MK-4541_GEMCITABINE_A427,MK-4541,GEMCITABINE,A427,-0.02791177332029271,4
MK-4541_GEMCITABINE_CAOV3,MK-4541,GEMCITABINE,CAOV3,-0.00868898657902562,4
MK-4541_GEMCITABINE_COLO320DM,MK-4541,GEMCITABINE,COLO320DM,0.004241222468191731,4
MK-4541_GEMCITABINE_DLD1,MK-4541,GEMCITABINE,DLD1,-0.01019442398007351,4
MK-4541_GEMCITABINE_EFM192B,MK-4541,GEMCITABINE,EFM192B,-0.020410050051567253,4
MK-4541_GEMCITABINE_ES2,MK-4541,GEMCITABINE,ES2,-0.0405563454672529,4
MK-4541_GEMCITABINE_HCT116,MK-4541,GEMCITABINE,HCT116,-0.13876276790410144,4
MK-4541_GEMCITABINE_HT144,MK-4541,GEMCITABINE,HT144,-0.006173157948143444,4
MK-4541_GEMCITABINE_HT29,MK-4541,GEMCITABINE,HT29,0.0025387334595852046,4
MK-4541_GEMCITABINE_KPL1,MK-4541,GEMCITABINE,KPL1,0.0246895884200306,4
MK-4541_GEMCITABINE_LNCAP,MK-4541,GEMCITABINE,LNCAP,-0.49605988303009857,4
MK-4541_GEMCITABINE_LOVO,MK-4541,GEMCITABINE,LOVO,-0.07730759819588348,4
MK-4541_GEMCITABINE_MDAMB436,MK-4541,GEMCITABINE,MDAMB436,-0.011213867669408975,4
MK-4541_GEMCITABINE_MSTO,MK-4541,GEMCITABINE,MSTO,-0.030977137487443726,4
MK-4541_GEMCITABINE_NCIH1650,MK-4541,GEMCITABINE,NCIH1650,-0.1652935163514108,4
MK-4541_GEMCITABINE_NCIH2122,MK-4541,GEMCITABINE,NCIH2122,0.004230484310636863,4
MK-4541_GEMCITABINE_NCIH23,MK-4541,GEMCITABINE,NCIH23,-0.05748215974106466,4
MK-4541_GEMCITABINE_NCIH460,MK-4541,GEMCITABINE,NCIH460,-0.05579029194158583,4
MK-4541_GEMCITABINE_NCIH520,MK-4541,GEMCITABINE,NCIH520,0.035645671354771834,4
MK-4541_GEMCITABINE_OCUBM,MK-4541,GEMCITABINE,OCUBM,0.04613880136168462,4
MK-4541_GEMCITABINE_OV90,MK-4541,GEMCITABINE,OV90,-0.04106686087093071,4
MK-4541_GEMCITABINE_OVCAR3,MK-4541,GEMCITABINE,OVCAR3,-0.018328927079980628,4
MK-4541_GEMCITABINE_PA1,MK-4541,GEMCITABINE,PA1,0.09190701230997972,4
MK-4541_GEMCITABINE_RKO,MK-4541,GEMCITABINE,RKO,-0.022693688329860306,4
MK-4541_GEMCITABINE_RPMI7951,MK-4541,GEMCITABINE,RPMI7951,0.03613959260078229,4
MK-4541_GEMCITABINE_SKMEL30,MK-4541,GEMCITABINE,SKMEL30,-0.011763285556925785,4
MK-4541_GEMCITABINE_SKMES1,MK-4541,GEMCITABINE,SKMES1,-0.06099328294884892,4
MK-4541_GEMCITABINE_SKOV3,MK-4541,GEMCITABINE,SKOV3,-0.08795323692096803,4
MK-4541_GEMCITABINE_SW620,MK-4541,GEMCITABINE,SW620,-0.012314951428087813,4
MK-4541_GEMCITABINE_SW837,MK-4541,GEMCITABINE,SW837,-0.01543131451338571,4
MK-4541_GEMCITABINE_T47D,MK-4541,GEMCITABINE,T47D,0.166482810288312,4
MK-4541_GEMCITABINE_UACC62,MK-4541,GEMCITABINE,UACC62,-0.05238025917442736,4
MK-4541_GEMCITABINE_UWB1289BRCA1,MK-4541,GEMCITABINE,UWB1289BRCA1,0.035521415988040206,4
MK-4541_GEMCITABINE_UWB1289,MK-4541,GEMCITABINE,UWB1289,-0.0628637772170174,4
MK-4541_GEMCITABINE_VCAP,MK-4541,GEMCITABINE,VCAP,0.126849012062008,4
MK-4541_GEMCITABINE_ZR751,MK-4541,GEMCITABINE,ZR751,-0.14818569374577584,4
MK-4541_L778123_A2058,MK-4541,L778123,A2058,0.01761187982807909,0
MK-4541_L778123_A2780,MK-4541,L778123,A2780,0.10871058402525194,0
MK-4541_L778123_A375,MK-4541,L778123,A375,0.0036154214306128862,0
MK-4541_L778123_A427,MK-4541,L778123,A427,0.08822474485155772,0
MK-4541_L778123_CAOV3,MK-4541,L778123,CAOV3,0.02858571778652052,0
MK-4541_L778123_COLO320DM,MK-4541,L778123,COLO320DM,0.02265212592672712,0
MK-4541_L778123_DLD1,MK-4541,L778123,DLD1,0.03153184799201619,0
MK-4541_L778123_EFM192B,MK-4541,L778123,EFM192B,-0.10728489975849997,0
MK-4541_L778123_ES2,MK-4541,L778123,ES2,0.008427360079355274,0
MK-4541_L778123_HCT116,MK-4541,L778123,HCT116,-0.050755992180929396,0
MK-4541_L778123_HT144,MK-4541,L778123,HT144,-0.039876339795065094,0
MK-4541_L778123_HT29,MK-4541,L778123,HT29,0.02506616209041858,0
MK-4541_L778123_KPL1,MK-4541,L778123,KPL1,-0.011127560227471939,0
MK-4541_L778123_LNCAP,MK-4541,L778123,LNCAP,-0.08937095662590235,0
MK-4541_L778123_LOVO,MK-4541,L778123,LOVO,-0.0548411336106541,0
MK-4541_L778123_MDAMB436,MK-4541,L778123,MDAMB436,0.022698369925151687,0
MK-4541_L778123_MSTO,MK-4541,L778123,MSTO,0.06585178545837723,0
MK-4541_L778123_NCIH1650,MK-4541,L778123,NCIH1650,-0.04864142594203083,0
MK-4541_L778123_NCIH2122,MK-4541,L778123,NCIH2122,-0.031574224184654026,0
MK-4541_L778123_NCIH23,MK-4541,L778123,NCIH23,0.00510174726485331,0
MK-4541_L778123_NCIH460,MK-4541,L778123,NCIH460,-0.04640645170441395,0
MK-4541_L778123_NCIH520,MK-4541,L778123,NCIH520,0.02353124418935401,0
MK-4541_L778123_OCUBM,MK-4541,L778123,OCUBM,0.07446367971363049,0
MK-4541_L778123_OV90,MK-4541,L778123,OV90,0.043290683275940454,0
MK-4541_L778123_OVCAR3,MK-4541,L778123,OVCAR3,0.11751832056250983,0
MK-4541_L778123_PA1,MK-4541,L778123,PA1,0.10338750995759163,0
MK-4541_L778123_RKO,MK-4541,L778123,RKO,0.01608480944163799,0
MK-4541_L778123_RPMI7951,MK-4541,L778123,RPMI7951,0.005005953540596998,0
MK-4541_L778123_SKMEL30,MK-4541,L778123,SKMEL30,0.09167777281446168,0
MK-4541_L778123_SKMES1,MK-4541,L778123,SKMES1,0.01129114778342847,0
MK-4541_L778123_SKOV3,MK-4541,L778123,SKOV3,0.09725744652142151,0
MK-4541_L778123_SW620,MK-4541,L778123,SW620,0.0049194018497788206,0
MK-4541_L778123_SW837,MK-4541,L778123,SW837,0.020269501879521902,0
MK-4541_L778123_T47D,MK-4541,L778123,T47D,-0.013811553025754385,0
MK-4541_L778123_UACC62,MK-4541,L778123,UACC62,0.023120116853902403,0
MK-4541_L778123_UWB1289BRCA1,MK-4541,L778123,UWB1289BRCA1,-0.06805010503989924,0
MK-4541_L778123_UWB1289,MK-4541,L778123,UWB1289,0.04865163734302282,0
MK-4541_L778123_VCAP,MK-4541,L778123,VCAP,0.06394611254899348,0
MK-4541_L778123_ZR751,MK-4541,L778123,ZR751,-0.12993947088471397,0
MK-4541_LAPATINIB_A2058,MK-4541,LAPATINIB,A2058,0.05153766706304202,3
MK-4541_LAPATINIB_A2780,MK-4541,LAPATINIB,A2780,0.12261917646919143,3
MK-4541_LAPATINIB_A375,MK-4541,LAPATINIB,A375,-0.02408225384575518,3
MK-4541_LAPATINIB_A427,MK-4541,LAPATINIB,A427,-0.0501100863940629,3
MK-4541_LAPATINIB_CAOV3,MK-4541,LAPATINIB,CAOV3,0.07636295467811949,3
MK-4541_LAPATINIB_COLO320DM,MK-4541,LAPATINIB,COLO320DM,0.06129061235543519,3
MK-4541_LAPATINIB_DLD1,MK-4541,LAPATINIB,DLD1,0.03575008142430021,3
MK-4541_LAPATINIB_EFM192B,MK-4541,LAPATINIB,EFM192B,-0.04814006045011719,3
MK-4541_LAPATINIB_ES2,MK-4541,LAPATINIB,ES2,0.006964302980131322,3
MK-4541_LAPATINIB_HCT116,MK-4541,LAPATINIB,HCT116,0.008068180142926706,3
MK-4541_LAPATINIB_HT144,MK-4541,LAPATINIB,HT144,0.006952640895128197,3
MK-4541_LAPATINIB_HT29,MK-4541,LAPATINIB,HT29,0.10475637033878109,3
MK-4541_LAPATINIB_KPL1,MK-4541,LAPATINIB,KPL1,0.09436953220759482,3
MK-4541_LAPATINIB_LNCAP,MK-4541,LAPATINIB,LNCAP,-0.01708220908449925,3
MK-4541_LAPATINIB_LOVO,MK-4541,LAPATINIB,LOVO,-0.04710572218561229,3
MK-4541_LAPATINIB_MDAMB436,MK-4541,LAPATINIB,MDAMB436,0.013660341844594574,3
MK-4541_LAPATINIB_MSTO,MK-4541,LAPATINIB,MSTO,0.032799037180700256,3
MK-4541_LAPATINIB_NCIH1650,MK-4541,LAPATINIB,NCIH1650,0.03437200578404862,3
MK-4541_LAPATINIB_NCIH2122,MK-4541,LAPATINIB,NCIH2122,-0.03554520347140422,3
MK-4541_LAPATINIB_NCIH23,MK-4541,LAPATINIB,NCIH23,0.028024058158602372,3
MK-4541_LAPATINIB_NCIH460,MK-4541,LAPATINIB,NCIH460,-0.0714747173291812,3
MK-4541_LAPATINIB_NCIH520,MK-4541,LAPATINIB,NCIH520,0.0037272063673573705,3
MK-4541_LAPATINIB_OCUBM,MK-4541,LAPATINIB,OCUBM,0.022727752897123858,3
MK-4541_LAPATINIB_OV90,MK-4541,LAPATINIB,OV90,-0.04949842932017242,3
MK-4541_LAPATINIB_OVCAR3,MK-4541,LAPATINIB,OVCAR3,0.08307610653977088,3
MK-4541_LAPATINIB_PA1,MK-4541,LAPATINIB,PA1,0.07968203208758509,3
MK-4541_LAPATINIB_RKO,MK-4541,LAPATINIB,RKO,0.01445768623646329,3
MK-4541_LAPATINIB_RPMI7951,MK-4541,LAPATINIB,RPMI7951,0.019405287097419847,3
MK-4541_LAPATINIB_SKMEL30,MK-4541,LAPATINIB,SKMEL30,0.06692628713879406,3
MK-4541_LAPATINIB_SKMES1,MK-4541,LAPATINIB,SKMES1,0.008655442441441768,3
MK-4541_LAPATINIB_SKOV3,MK-4541,LAPATINIB,SKOV3,0.07261120696159323,3
MK-4541_LAPATINIB_SW620,MK-4541,LAPATINIB,SW620,0.018021105870320984,3
MK-4541_LAPATINIB_SW837,MK-4541,LAPATINIB,SW837,0.002934120049109031,3
MK-4541_LAPATINIB_T47D,MK-4541,LAPATINIB,T47D,0.01602315621280019,3
MK-4541_LAPATINIB_UACC62,MK-4541,LAPATINIB,UACC62,0.04057082582580549,3
MK-4541_LAPATINIB_UWB1289BRCA1,MK-4541,LAPATINIB,UWB1289BRCA1,0.054576989799059346,3
MK-4541_LAPATINIB_UWB1289,MK-4541,LAPATINIB,UWB1289,0.06441695399979738,3
MK-4541_LAPATINIB_VCAP,MK-4541,LAPATINIB,VCAP,0.08235393324144419,3
MK-4541_LAPATINIB_ZR751,MK-4541,LAPATINIB,ZR751,-0.08144303963869046,3
MK-4541_METFORMIN_A2058,MK-4541,METFORMIN,A2058,0.07268512843222497,1
MK-4541_METFORMIN_A2780,MK-4541,METFORMIN,A2780,0.05234204572260016,1
MK-4541_METFORMIN_A375,MK-4541,METFORMIN,A375,-0.034456850821578754,1
MK-4541_METFORMIN_A427,MK-4541,METFORMIN,A427,-0.043403689114107406,1
MK-4541_METFORMIN_CAOV3,MK-4541,METFORMIN,CAOV3,-0.0034597657344710916,1
MK-4541_METFORMIN_COLO320DM,MK-4541,METFORMIN,COLO320DM,0.02200096556977245,1
MK-4541_METFORMIN_DLD1,MK-4541,METFORMIN,DLD1,0.009146023240739452,1
MK-4541_METFORMIN_EFM192B,MK-4541,METFORMIN,EFM192B,-0.05301297909739999,1
MK-4541_METFORMIN_ES2,MK-4541,METFORMIN,ES2,-0.002958183123346003,1
MK-4541_METFORMIN_HCT116,MK-4541,METFORMIN,HCT116,-0.013454262404696007,1
MK-4541_METFORMIN_HT144,MK-4541,METFORMIN,HT144,-0.0654793999841044,1
MK-4541_METFORMIN_HT29,MK-4541,METFORMIN,HT29,0.010467439605893684,1
MK-4541_METFORMIN_KPL1,MK-4541,METFORMIN,KPL1,0.028560157245555134,1
MK-4541_METFORMIN_LNCAP,MK-4541,METFORMIN,LNCAP,-0.016352698174600933,1
MK-4541_METFORMIN_LOVO,MK-4541,METFORMIN,LOVO,-0.09055480568554253,1
MK-4541_METFORMIN_MDAMB436,MK-4541,METFORMIN,MDAMB436,-0.0292954903585598,1
MK-4541_METFORMIN_MSTO,MK-4541,METFORMIN,MSTO,0.004278745919383625,1
MK-4541_METFORMIN_NCIH1650,MK-4541,METFORMIN,NCIH1650,-0.029696014313906387,1
MK-4541_METFORMIN_NCIH2122,MK-4541,METFORMIN,NCIH2122,-0.017250595296150903,1
MK-4541_METFORMIN_NCIH23,MK-4541,METFORMIN,NCIH23,-0.029329291434090944,1
MK-4541_METFORMIN_NCIH460,MK-4541,METFORMIN,NCIH460,-0.08377428348748295,1
MK-4541_METFORMIN_NCIH520,MK-4541,METFORMIN,NCIH520,-0.029450176692634507,1
MK-4541_METFORMIN_OCUBM,MK-4541,METFORMIN,OCUBM,0.04697576396487858,1
MK-4541_METFORMIN_OV90,MK-4541,METFORMIN,OV90,-0.024130939954143858,1
MK-4541_METFORMIN_OVCAR3,MK-4541,METFORMIN,OVCAR3,0.018229729114848242,1
MK-4541_METFORMIN_PA1,MK-4541,METFORMIN,PA1,0.021091696024079065,1
MK-4541_METFORMIN_RKO,MK-4541,METFORMIN,RKO,0.013406014342529714,1
MK-4541_METFORMIN_RPMI7951,MK-4541,METFORMIN,RPMI7951,-0.07943791360991391,1
MK-4541_METFORMIN_SKMEL30,MK-4541,METFORMIN,SKMEL30,0.045938573930506134,1
MK-4541_METFORMIN_SKMES1,MK-4541,METFORMIN,SKMES1,-0.01735814478420048,1
MK-4541_METFORMIN_SKOV3,MK-4541,METFORMIN,SKOV3,0.06259822986712321,1
MK-4541_METFORMIN_SW620,MK-4541,METFORMIN,SW620,-0.003833705225695476,1
MK-4541_METFORMIN_SW837,MK-4541,METFORMIN,SW837,-0.06698368651175138,1
MK-4541_METFORMIN_T47D,MK-4541,METFORMIN,T47D,0.16834532449287276,1
MK-4541_METFORMIN_UACC62,MK-4541,METFORMIN,UACC62,-0.060153073926610186,1
MK-4541_METFORMIN_UWB1289BRCA1,MK-4541,METFORMIN,UWB1289BRCA1,-0.05248614648088852,1
MK-4541_METFORMIN_UWB1289,MK-4541,METFORMIN,UWB1289,0.004068634927130714,1
MK-4541_METFORMIN_VCAP,MK-4541,METFORMIN,VCAP,0.07100096501712846,1
MK-4541_METFORMIN_ZR751,MK-4541,METFORMIN,ZR751,-0.22473012462244496,1
MK-4541_METHOTREXATE_A2058,MK-4541,METHOTREXATE,A2058,-0.03248824119293538,3
MK-4541_METHOTREXATE_A2780,MK-4541,METHOTREXATE,A2780,0.0680979615727953,3
MK-4541_METHOTREXATE_A375,MK-4541,METHOTREXATE,A375,-0.035068632182291164,3
MK-4541_METHOTREXATE_A427,MK-4541,METHOTREXATE,A427,0.05886427588844179,3
MK-4541_METHOTREXATE_CAOV3,MK-4541,METHOTREXATE,CAOV3,0.022118516546395087,3
MK-4541_METHOTREXATE_COLO320DM,MK-4541,METHOTREXATE,COLO320DM,-0.04232897117197802,3
MK-4541_METHOTREXATE_DLD1,MK-4541,METHOTREXATE,DLD1,-0.06939017125648514,3
MK-4541_METHOTREXATE_EFM192B,MK-4541,METHOTREXATE,EFM192B,-0.09271952118046231,3
MK-4541_METHOTREXATE_ES2,MK-4541,METHOTREXATE,ES2,-0.09449650789270844,3
MK-4541_METHOTREXATE_HCT116,MK-4541,METHOTREXATE,HCT116,-0.10407352131650854,3
MK-4541_METHOTREXATE_HT144,MK-4541,METHOTREXATE,HT144,-0.040975913607965896,3
MK-4541_METHOTREXATE_HT29,MK-4541,METHOTREXATE,HT29,-0.0509743784028996,3
MK-4541_METHOTREXATE_KPL1,MK-4541,METHOTREXATE,KPL1,-0.02326718375851621,3
MK-4541_METHOTREXATE_LNCAP,MK-4541,METHOTREXATE,LNCAP,-0.15210273389619483,3
MK-4541_METHOTREXATE_LOVO,MK-4541,METHOTREXATE,LOVO,-0.13794197587850662,3
MK-4541_METHOTREXATE_MDAMB436,MK-4541,METHOTREXATE,MDAMB436,-0.04275676664328573,3
MK-4541_METHOTREXATE_MSTO,MK-4541,METHOTREXATE,MSTO,-0.026962684371753434,3
MK-4541_METHOTREXATE_NCIH1650,MK-4541,METHOTREXATE,NCIH1650,-0.0017604167818690598,3
MK-4541_METHOTREXATE_NCIH2122,MK-4541,METHOTREXATE,NCIH2122,0.00962793104314683,3
MK-4541_METHOTREXATE_NCIH23,MK-4541,METHOTREXATE,NCIH23,0.01191094837248599,3
MK-4541_METHOTREXATE_NCIH460,MK-4541,METHOTREXATE,NCIH460,-0.05457428004764875,3
MK-4541_METHOTREXATE_NCIH520,MK-4541,METHOTREXATE,NCIH520,-0.036969112205634605,3
MK-4541_METHOTREXATE_OCUBM,MK-4541,METHOTREXATE,OCUBM,0.006944869213394806,3
MK-4541_METHOTREXATE_OV90,MK-4541,METHOTREXATE,OV90,-0.025609199659008833,3
MK-4541_METHOTREXATE_OVCAR3,MK-4541,METHOTREXATE,OVCAR3,-0.015123498708571211,3
MK-4541_METHOTREXATE_PA1,MK-4541,METHOTREXATE,PA1,0.008651480969458834,3
MK-4541_METHOTREXATE_RKO,MK-4541,METHOTREXATE,RKO,-0.07945369419192587,3
MK-4541_METHOTREXATE_RPMI7951,MK-4541,METHOTREXATE,RPMI7951,-0.12458963531045938,3
MK-4541_METHOTREXATE_SKMEL30,MK-4541,METHOTREXATE,SKMEL30,-0.07671688249323644,3
MK-4541_METHOTREXATE_SKMES1,MK-4541,METHOTREXATE,SKMES1,-0.04255267678397565,3
MK-4541_METHOTREXATE_SKOV3,MK-4541,METHOTREXATE,SKOV3,0.08909359889858903,3
MK-4541_METHOTREXATE_SW620,MK-4541,METHOTREXATE,SW620,-0.02526048086671937,3
MK-4541_METHOTREXATE_SW837,MK-4541,METHOTREXATE,SW837,-0.0516710289383047,3
MK-4541_METHOTREXATE_T47D,MK-4541,METHOTREXATE,T47D,6.219197167359886e-05,3
MK-4541_METHOTREXATE_UACC62,MK-4541,METHOTREXATE,UACC62,0.004800810869952429,3
MK-4541_METHOTREXATE_UWB1289BRCA1,MK-4541,METHOTREXATE,UWB1289BRCA1,-0.032146679073481566,3
MK-4541_METHOTREXATE_UWB1289,MK-4541,METHOTREXATE,UWB1289,-0.02438654763034987,3
MK-4541_METHOTREXATE_VCAP,MK-4541,METHOTREXATE,VCAP,-0.110418147458742,3
MK-4541_METHOTREXATE_ZR751,MK-4541,METHOTREXATE,ZR751,-0.20568439358022245,3
MK-4541_MITOMYCINE_A2058,MK-4541,MITOMYCINE,A2058,0.16343031558492294,3
MK-4541_MITOMYCINE_A2780,MK-4541,MITOMYCINE,A2780,0.05655135430387546,3
MK-4541_MITOMYCINE_A375,MK-4541,MITOMYCINE,A375,0.01490482684789339,3
MK-4541_MITOMYCINE_A427,MK-4541,MITOMYCINE,A427,0.04253399617097581,3
MK-4541_MITOMYCINE_CAOV3,MK-4541,MITOMYCINE,CAOV3,0.17521210483146804,3
MK-4541_MITOMYCINE_COLO320DM,MK-4541,MITOMYCINE,COLO320DM,0.02719532994234628,3
MK-4541_MITOMYCINE_DLD1,MK-4541,MITOMYCINE,DLD1,-0.03159598870915164,3
MK-4541_MITOMYCINE_EFM192B,MK-4541,MITOMYCINE,EFM192B,0.05117447543097836,3
MK-4541_MITOMYCINE_ES2,MK-4541,MITOMYCINE,ES2,0.11505651050717818,3
MK-4541_MITOMYCINE_HCT116,MK-4541,MITOMYCINE,HCT116,-0.0006948845741503173,3
MK-4541_MITOMYCINE_HT144,MK-4541,MITOMYCINE,HT144,-0.034696068735661674,3
MK-4541_MITOMYCINE_HT29,MK-4541,MITOMYCINE,HT29,0.1307013733779308,3
MK-4541_MITOMYCINE_KPL1,MK-4541,MITOMYCINE,KPL1,0.0245790290349914,3
MK-4541_MITOMYCINE_LNCAP,MK-4541,MITOMYCINE,LNCAP,-0.1226128754812745,3
MK-4541_MITOMYCINE_LOVO,MK-4541,MITOMYCINE,LOVO,0.06966217879515763,3
MK-4541_MITOMYCINE_MDAMB436,MK-4541,MITOMYCINE,MDAMB436,0.004636049613839444,3
MK-4541_MITOMYCINE_MSTO,MK-4541,MITOMYCINE,MSTO,0.0063968220745953455,3
MK-4541_MITOMYCINE_NCIH1650,MK-4541,MITOMYCINE,NCIH1650,0.006018070202367748,3
MK-4541_MITOMYCINE_NCIH2122,MK-4541,MITOMYCINE,NCIH2122,0.15845632196369383,3
MK-4541_MITOMYCINE_NCIH23,MK-4541,MITOMYCINE,NCIH23,0.05766781911935375,3
MK-4541_MITOMYCINE_NCIH460,MK-4541,MITOMYCINE,NCIH460,-0.028036523801414803,3
MK-4541_MITOMYCINE_NCIH520,MK-4541,MITOMYCINE,NCIH520,-0.014811901854083927,3
MK-4541_MITOMYCINE_OCUBM,MK-4541,MITOMYCINE,OCUBM,0.09610906964354946,3
MK-4541_MITOMYCINE_OV90,MK-4541,MITOMYCINE,OV90,-0.0369786598290911,3
MK-4541_MITOMYCINE_OVCAR3,MK-4541,MITOMYCINE,OVCAR3,0.007476362221769971,3
MK-4541_MITOMYCINE_PA1,MK-4541,MITOMYCINE,PA1,0.19428834670067124,3
MK-4541_MITOMYCINE_RKO,MK-4541,MITOMYCINE,RKO,-0.013011540855917894,3
MK-4541_MITOMYCINE_RPMI7951,MK-4541,MITOMYCINE,RPMI7951,0.005777860706884484,3
MK-4541_MITOMYCINE_SKMEL30,MK-4541,MITOMYCINE,SKMEL30,-0.021721907401599197,3
MK-4541_MITOMYCINE_SKMES1,MK-4541,MITOMYCINE,SKMES1,-0.009300467367436966,3
MK-4541_MITOMYCINE_SKOV3,MK-4541,MITOMYCINE,SKOV3,0.028876223652870243,3
MK-4541_MITOMYCINE_SW620,MK-4541,MITOMYCINE,SW620,0.11507373978327612,3
MK-4541_MITOMYCINE_SW837,MK-4541,MITOMYCINE,SW837,0.0007737386820786639,3
MK-4541_MITOMYCINE_T47D,MK-4541,MITOMYCINE,T47D,0.08307649610502535,3
MK-4541_MITOMYCINE_UACC62,MK-4541,MITOMYCINE,UACC62,0.024992751812557144,3
MK-4541_MITOMYCINE_UWB1289BRCA1,MK-4541,MITOMYCINE,UWB1289BRCA1,0.01754249863951584,3
MK-4541_MITOMYCINE_UWB1289,MK-4541,MITOMYCINE,UWB1289,0.020370431155021546,3
MK-4541_MITOMYCINE_VCAP,MK-4541,MITOMYCINE,VCAP,0.12353065460752734,3
MK-4541_MITOMYCINE_ZR751,MK-4541,MITOMYCINE,ZR751,-0.20337078778734682,3
MK-4541_MK-2206_A2058,MK-4541,MK-2206,A2058,0.04152828391281468,3
MK-4541_MK-2206_A2780,MK-4541,MK-2206,A2780,0.14511605709556175,3
MK-4541_MK-2206_A375,MK-4541,MK-2206,A375,-0.02169488229603065,3
MK-4541_MK-2206_A427,MK-4541,MK-2206,A427,-0.03235913976597924,3
MK-4541_MK-2206_CAOV3,MK-4541,MK-2206,CAOV3,0.1707633068241095,3
MK-4541_MK-2206_COLO320DM,MK-4541,MK-2206,COLO320DM,0.06155252104763668,3
MK-4541_MK-2206_DLD1,MK-4541,MK-2206,DLD1,0.03735233416036865,3
MK-4541_MK-2206_EFM192B,MK-4541,MK-2206,EFM192B,-0.037654708047160354,3
MK-4541_MK-2206_ES2,MK-4541,MK-2206,ES2,-0.023865920952831222,3
MK-4541_MK-2206_HCT116,MK-4541,MK-2206,HCT116,-0.004495016922137593,3
MK-4541_MK-2206_HT144,MK-4541,MK-2206,HT144,-0.010422107345738202,3
MK-4541_MK-2206_HT29,MK-4541,MK-2206,HT29,0.0816927802015858,3
MK-4541_MK-2206_KPL1,MK-4541,MK-2206,KPL1,0.11342279125152588,3
MK-4541_MK-2206_LNCAP,MK-4541,MK-2206,LNCAP,-0.07704996813850978,3
MK-4541_MK-2206_LOVO,MK-4541,MK-2206,LOVO,-0.025203734342733798,3
MK-4541_MK-2206_MDAMB436,MK-4541,MK-2206,MDAMB436,0.019654631919108614,3
MK-4541_MK-2206_MSTO,MK-4541,MK-2206,MSTO,0.09273059489536006,3
MK-4541_MK-2206_NCIH1650,MK-4541,MK-2206,NCIH1650,0.01027348565460253,3
MK-4541_MK-2206_NCIH2122,MK-4541,MK-2206,NCIH2122,-0.032141197735472214,3
MK-4541_MK-2206_NCIH23,MK-4541,MK-2206,NCIH23,0.02335307260117405,3
MK-4541_MK-2206_NCIH460,MK-4541,MK-2206,NCIH460,-0.04986984118705046,3
MK-4541_MK-2206_NCIH520,MK-4541,MK-2206,NCIH520,0.026870320439090548,3
MK-4541_MK-2206_OCUBM,MK-4541,MK-2206,OCUBM,0.03028765431124858,3
MK-4541_MK-2206_OV90,MK-4541,MK-2206,OV90,-0.024483774360682657,3
MK-4541_MK-2206_OVCAR3,MK-4541,MK-2206,OVCAR3,0.041617806557872394,3
MK-4541_MK-2206_PA1,MK-4541,MK-2206,PA1,0.05143111556710119,3
MK-4541_MK-2206_RKO,MK-4541,MK-2206,RKO,0.016972618525073382,3
MK-4541_MK-2206_RPMI7951,MK-4541,MK-2206,RPMI7951,0.03418953380946685,3
MK-4541_MK-2206_SKMEL30,MK-4541,MK-2206,SKMEL30,0.04685892566337947,3
MK-4541_MK-2206_SKMES1,MK-4541,MK-2206,SKMES1,0.035989509640851715,3
MK-4541_MK-2206_SKOV3,MK-4541,MK-2206,SKOV3,0.09889571628029939,3
MK-4541_MK-2206_SW620,MK-4541,MK-2206,SW620,-0.029468969723065667,3
MK-4541_MK-2206_SW837,MK-4541,MK-2206,SW837,0.008245117073674826,3
MK-4541_MK-2206_T47D,MK-4541,MK-2206,T47D,0.02208769487107682,3
